ID,Severity,Form,Prod state,Location,What's missing,Expected behaviour,User impact,Status,Blocks launch,First found,Last updated
FA-01,Critical,Booking wizard,Live,app/installation/page.tsx:259-284 (next/paid/slotTaken); components/booking/BookingCheckout.tsx; app/api/booking/create/route.ts,Card fields carry autoComplete=cc-* and submitForm is imported at :7 but never called; next() fakes a 900ms delay and generates the reference client-side,"RESOLVED 2026-08-10 (commits c53a610, 811ea60, 5c5d7fa, 686208a). The cc* fields and their Form state are DELETED rather than wired up — step 5 now mounts Stripe embedded Checkout in an iframe, so no card number ever enters React state (PCI SAQ A). Mounting calls POST /api/booking/create, which upserts a GHL contact, re-checks the slot, takes a held appointment and opens a Checkout session. Completion arrives via Stripe onComplete, and the reference shown is the real GHL appointment id. The 900 ms setTimeout, the Math.random reference and the unused submitForm import are all gone","Was: browser autofilled a real card into a form that discarded it, and the customer believed they were booked when no record existed. Now a real charge creates a real appointment. Residual risk moved to FA-26 (nothing is agreed to at checkout) and FA-32 (a refund does not release the booking)",Applied,No,2026-07-31,2026-08-13
FA-02,Critical,Warranty claim,Gated,app/warranty-claim/page.tsx:228; :363-372; app/api/contact/route.ts:113-129,"Evidence files are sent as filenames only — evidence.map(f => f.name).join("", ""); the API's single attachment slot is taken by the receipt","Attach multiple files, or state in the UI that photos must be emailed separately. Still unfixed at 2026-08-13: evidence.map((f) => f.name).join("", "") is unchanged, and buildAttachment() still accepts exactly one attachment, which the receipt occupies","Support receives a list of filenames and no images, on the form where that evidence is the substance of the claim",Pending,Yes,2026-07-31,2026-08-13
FA-03,Critical,"Registration, Warranty claim",Gated,"app/register/page.tsx:23; app/warranty-claim/page.tsx:24; app/api/contact/route.ts:20,78",Client caps uploads at 10MB and says so; server caps base64 at 4MB (~3MB real file) and drops the attachment while returning ok:true,"Applied 2026-08-07: both fixes shipped — client cap on register and warranty-claim lowered to 3 MB (matching the 4 MB base64 server cap) and the UI now advertises ""up to 3 MB""; and the server no longer drops silently — buildAttachment rejects oversize/empty/disallowed-extension/malformed attachments and route.ts returns a 400 (""That file couldn't be attached… under 3 MB"") instead of ok:true. Verified end to end: oversize and .exe POSTs return 400, a valid image passes the gate","Re-verified 2026-08-13: the 3 MB client cap and the loud 400 on an unacceptable attachment are both still in place (register:27/90-99, warranty-claim:28/168-180, route.ts:109-129/194-200)",Applied,No,2026-07-31,2026-08-13
FA-04,High,All forms (shared),Shared,lib/submitForm.ts:22; app/api/contact/route.ts:51,"submitForm's POST body omits botcheck, so the server honeypot can never fire for any caller","Applied 2026-08-04: submitForm now forwards botcheck in the request body and all four forms pass it, dropping their client-side short-circuit so the server honeypot at route.ts:51 is the single, reachable enforcement point. Verified end to end — a filled honeypot returns 200 with no send (a direct POST with botcheck is caught the same way); an empty one proceeds normally",Re-verified 2026-08-13: submitForm forwards botcheck (lib/submitForm.ts:31) and the server honeypot at route.ts:163 is the single enforcement point. All four forms pass it,Applied,No,2026-07-31,2026-08-13
FA-05,Medium,/api/contact,Live,"app/api/contact/route.ts:28-31 (caps), :42-68 (in-memory limit), :77-120 (durable Redis limit), :70-94 (Turnstile), :138-176","No rate limiting, CAPTCHA, CSRF or origin check, field allow-list, field-count cap or per-field length cap","MOSTLY APPLIED. 2026-08-06 (commit 81ae886): per-IP in-memory rate limiting, Cloudflare Turnstile verified server-side, MAX_FIELDS 30, MAX_KEY_CHARS 64, MAX_VALUE_CHARS 5000, MAX_SUBJECT_CHARS 150 and an attachment extension allow-list. 2026-08-13 (commit 4cb2913, Joffrey Getalada): the limiter is now DURABLE across serverless instances — an Upstash Redis REST store (Vercel KV names accepted too) arms the window with a single atomic INCR + PEXPIRE Lua script, falling back to the in-memory limiter when unprovisioned or unreachable. STILL MISSING: no CSRF or origin check, and no field-name allow-list — any key the caller invents is prettified and mailed","The volume gap that made this launch-blocking is closed, and as of 2026-08-13 the ceiling is global rather than per-instance, so the cold-start reset noted here previously no longer applies once a store is provisioned. What remains is lower grade: the route will still mail arbitrary field NAMES chosen by the caller, and accepts cross-origin POSTs. Note the durable limiter must actually be provisioned — unset credentials silently degrade to the per-instance fallback (documented in .env.example)",Pending,No,2026-07-31,2026-08-13
FA-06,High,Booking wizard,Live,app/installation/page.tsx:313-552 (whole wizard); app/api/booking/create/route.ts:41-56,No honeypot at all — the pattern used by the other four forms is absent,"APPLIED 2026-08-15. The botcheck honeypot now matches the other four forms: a hidden field on the wizard, carried on BookingPayload, checked in /api/booking/create BEFORE the GHL contact upsert and the Stripe session so a script never triggers the two calls that cost money and leave records. Unlike /api/contact it returns a generic 400 rather than a fake success, because the wizard needs a client secret to render and there is no believable empty-success to fake. Covered by scripts/e2e-booking.mjs (""honeypot submission is refused"" / ""and creates nothing""), sent with an otherwise valid body on a free slot so a pass can only mean the honeypot fired. TURNSTILE DEFERRED, and it is the durable fix — a script that simply omits the field still walks past a honeypot. It is not added yet because verification would reject every run of the e2e suite, which cannot solve a challenge without a browser; adopting it needs a decision on using Cloudflare test keys (1x0000000000000000000000000000000AA always passes) for test runs","NO LONGER MOOT. FA-01 is resolved, so this endpoint now takes a real GHL hold on a real slot. A per-IP limiter (5 per 10 min) was shipped with the route and is the only control; it is in-memory and per-instance, so a distributed caller can still block slots. Not marked launch-blocking only because that limiter exists",Applied,No,2026-07-31,2026-08-15
FA-07,Medium,All forms (shared),Live,lib/data/thank-you.ts:32-44; app/api/contact/route.ts:218-226,"Thank-you copy says a confirmation email was sent, plus ""reply to the confirmation email"" and ""check your spam"" — the API sends one email, to support only","Add a submitter auto-reply in the API route, or reword the three lines. Unchanged at 2026-08-13. Note the booking wizard is now OUT of scope for this row — it no longer redirects to /thank-you and its confirmation email is real (lib/email/bookingConfirmation.ts). This is now purely about the four email forms","Every submitter of the four email forms is told to watch for and reply to an email that does not exist — /api/contact sends one message, to support only. Content accuracy is a hard launch gate. Tracked on the content side as CA-70",Needs approval,Yes,2026-07-31,2026-08-13
FA-08,Medium,"Contact, Retailer application, Booking wizard",Mixed,"app/contact/page.tsx:107-111 (no noValidate, native required); app/become-a-retailer/page.tsx:155-158; app/installation/page.tsx:536",Three incompatible validation models: /contact is browser-native only (no noValidate); /become-a-retailer shows one combined message for 9 fields; the wizard shows a single hint line,"APPLIED 2026-08-15. All three forms now use the /register + /warranty-claim model: one validation pass marking every failing field at once, an invalid: Record<string,boolean> state, and a message under each control. /contact dropped browser-native validation for its own (noValidate added) — native bubbles are browser-styled, vanish on the next interaction and surface only the first failure. /become-a-retailer replaced ""Please complete the required fields marked with *"" across 9 inputs, which left the applicant to re-scan the form to find which one they missed. The booking wizard replaced its single hint line, which named one problem per Continue; the hint survives only for the step-2 COVERAGE answer, which is about the address as a whole and is often not an error at all. Went beyond the two reference forms on a11y: aria-invalid and aria-describedby tie each message to its control, and the retailer form gained the htmlFor/id pairs it never had. CLOSED OUT the same day: /register and /warranty-claim were brought up to match, so all five forms now tie every error message to its control with aria-invalid + aria-describedby. Two details worth keeping: the serial fields describe BOTH their permanent helper line and the error, not just the error; and the warranty-claim UploadZone takes describedBy but deliberately NOT aria-invalid, because it is a role=""button"" drop target and aria-invalid is unsupported on button (eslint jsx-a11y/role-supports-aria-props catches it) — the red border was previously the only signal, which is colour-only",/contact shows browser default bubbles unlike any other form; /become-a-retailer tells the user to complete required fields without saying which is empty,Applied,No,2026-07-31,2026-08-15
FA-09,Medium,Registration,Gated,app/register/page.tsx:163; :179-231,"No required-field markers anywhere, while the intro says ""Fields marked optional can be skipped"" — implying everything unmarked is required",Mark required fields with the orange * used by /contact and /become-a-retailer. Unchanged at 2026-08-13 — seven fields are required by submit() at :104-110 and none carries a marker,Seven fields are required by submit(); the user discovers which only by submitting and reading errors,Pending,No,2026-07-31,2026-08-13
FA-10,Low,All forms (shared),Mixed,app/contact/page.tsx:94-96; app/register/page.tsx:144; app/warranty-claim/page.tsx:233; app/become-a-retailer/page.tsx:184-185,"No timeout or recovery if the success redirect stalls — status deliberately stays ""sending"" through navigation",A timeout that re-enables the button if navigation fails. Unchanged at 2026-08-13,"Button stays disabled reading ""Sending…"" indefinitely. Redirect-instead-of-inline-success is a confirmed deliberate pattern, not a defect",Pending,No,2026-07-31,2026-08-13
